cord_uid,title,abstract,publish_time,authors,journal,source_x,pdf_json_files,pmc_json_files
CORD-000015,COVID-19 Research Paper 16: A Study on Transmission Patterns,,2020-01-17 10:35:40.540540540,"Author6, A.; Researcher1, B.",NEJM,PubMed,pdf_15.json,pmc_15.json
CORD-000016,COVID-19 Research Paper 17: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 17. We analyzed data from multiple sources and found significant correlations.,2020-01-18 12:54:03.243243243,"Author7, A.; Researcher2, B.",JAMA,arXiv,pdf_16.json,
CORD-000017,COVID-19 Research Paper 18: A Study on Transmission Patterns,,2020-01-19 15:12:25.945945946,"Author8, A.; Researcher3, B.",JAMA,arXiv,pdf_17.json,
CORD-000018,COVID-19 Research Paper 19: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 19. We analyzed data from multiple sources and found significant correlations.,2020-01-20 17:30:48.648648648,"Author9, A.; Researcher4, B.",Science,arXiv,pdf_18.json,pmc_18.json
CORD-000019,COVID-19 Research Paper 20: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 20. We analyzed data from multiple sources and found significant correlations.,2020-01-21 19:49:11.351351351,"Author10, A.; Researcher5, B.",NEJM,arXiv,pdf_19.json,
CORD-000020,COVID-19 Research Paper 21: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 21. We analyzed data from multiple sources and found significant correlations.,2020-01-22 22:07:34.054054054,"Author1, A.; Researcher1, B.",BMJ,bioRxiv,pdf_20.json,
CORD-000021,COVID-19 Research Paper 22: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 22. We analyzed data from multiple sources and found significant correlations.,2020-01-24 00:25:56.756756756,"Author2, A.; Researcher2, B.",Nature,PubMed,pdf_21.json,pmc_21.json
CORD-000022,COVID-19 Research Paper 23: A Study on Transmission Patterns,,2020-01-25 02:44:19.459459459,"Author3, A.; Researcher3, B.",NEJM,bioRxiv,pdf_22.json,
CORD-000023,COVID-19 Research Paper 24: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 24. We analyzed data from multiple sources and found significant correlations.,2020-01-26 05:02:42.162162162,"Author4, A.; Researcher4, B.",Science,bioRxiv,pdf_23.json,
CORD-000024,COVID-19 Research Paper 25: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 25. We analyzed data from multiple sources and found significant correlations.,2020-01-27 07:21:04.864864865,"Author5, A.; Researcher5, B.",JAMA,arXiv,pdf_24.json,pmc_24.json
CORD-000025,COVID-19 Research Paper 26: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 26. We analyzed data from multiple sources and found significant correlations.,2020-01-28 09:39:27.567567567,"Author6, A.; Researcher1, B.",BMJ,PMC,pdf_25.json,
CORD-000026,COVID-19 Research Paper 27: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 27. We analyzed data from multiple sources and found significant correlations.,2020-01-29 11:57:50.270270270,,NEJM,PMC,pdf_26.json,
CORD-000027,COVID-19 Research Paper 28: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 28. We analyzed data from multiple sources and found significant correlations.,2020-01-30 14:16:12.972972973,"Author8, A.; Researcher3, B.",Nature,bioRxiv,pdf_27.json,pmc_27.json
CORD-000028,COVID-19 Research Paper 29: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 29. We analyzed data from multiple sources and found significant correlations.,2020-01-31 16:34:35.675675675,"Author9, A.; Researcher4, B.",Nature,bioRxiv,pdf_28.json,
CORD-000029,COVID-19 Research Paper 30: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 30. We analyzed data from multiple sources and found significant correlations.,2020-02-01 18:52:58.378378378,"Author10, A.; Researcher5, B.",Lancet,arXiv,pdf_29.json,
CORD-000030,COVID-19 Research Paper 31: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 31. We analyzed data from multiple sources and found significant correlations.,2020-02-02 21:11:21.081081081,"Author1, A.; Researcher1, B.",Lancet,bioRxiv,pdf_30.json,pmc_30.json
CORD-000031,COVID-19 Research Paper 32: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 32. We analyzed data from multiple sources and found significant correlations.,2020-02-03 23:29:43.783783784,"Author2, A.; Researcher2, B.",Science,arXiv,pdf_31.json,
CORD-000032,COVID-19 Research Paper 33: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 33. We analyzed data from multiple sources and found significant correlations.,2020-02-05 01:48:06.486486486,,NEJM,PMC,pdf_32.json,
CORD-000033,COVID-19 Research Paper 34: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 34. We analyzed data from multiple sources and found significant correlations.,2020-02-06 04:06:29.189189189,"Author4, A.; Researcher4, B.",NEJM,PMC,pdf_33.json,pmc_33.json
CORD-000034,COVID-19 Research Paper 35: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 35. We analyzed data from multiple sources and found significant correlations.,2020-02-07 06:24:51.891891892,"Author5, A.; Researcher5, B.",JAMA,PubMed,pdf_34.json,
CORD-000035,COVID-19 Research Paper 36: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 36. We analyzed data from multiple sources and found significant correlations.,2020-02-08 08:43:14.594594594,"Author6, A.; Researcher1, B.",JAMA,PMC,pdf_35.json,
CORD-000036,COVID-19 Research Paper 37: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 37. We analyzed data from multiple sources and found significant correlations.,2020-02-09 11:01:37.297297297,"Author7, A.; Researcher2, B.",JAMA,bioRxiv,pdf_36.json,pmc_36.json
CORD-000037,COVID-19 Research Paper 38: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 38. We analyzed data from multiple sources and found significant correlations.,2020-02-10 13:20:00.000000000,"Author8, A.; Researcher3, B.",Lancet,PMC,pdf_37.json,
CORD-000038,COVID-19 Research Paper 39: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 39. We analyzed data from multiple sources and found significant correlations.,2020-02-11 15:38:22.702702702,"Author9, A.; Researcher4, B.",NEJM,arXiv,pdf_38.json,
CORD-000039,COVID-19 Research Paper 40: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 40. We analyzed data from multiple sources and found significant correlations.,2020-02-12 17:56:45.405405405,"Author10, A.; Researcher5, B.",NEJM,PMC,pdf_39.json,pmc_39.json
CORD-000040,COVID-19 Research Paper 41: A Study on Transmission Patterns,,2020-02-13 20:15:08.108108108,"Author1, A.; Researcher1, B.",Nature,PubMed,pdf_40.json,
CORD-000041,COVID-19 Research Paper 42: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 42. We analyzed data from multiple sources and found significant correlations.,2020-02-14 22:33:30.810810811,"Author2, A.; Researcher2, B.",Lancet,PMC,pdf_41.json,
CORD-000042,COVID-19 Research Paper 43: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 43. We analyzed data from multiple sources and found significant correlations.,2020-02-16 00:51:53.513513513,"Author3, A.; Researcher3, B.",BMJ,arXiv,pdf_42.json,pmc_42.json
CORD-000043,COVID-19 Research Paper 44: A Study on Transmission Patterns,,2020-02-17 03:10:16.216216216,"Author4, A.; Researcher4, B.",Lancet,arXiv,pdf_43.json,
CORD-000044,COVID-19 Research Paper 45: A Study on Transmission Patterns,,2020-02-18 05:28:38.918918919,"Author5, A.; Researcher5, B.",BMJ,bioRxiv,pdf_44.json,
CORD-000045,COVID-19 Research Paper 46: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 46. We analyzed data from multiple sources and found significant correlations.,2020-02-19 07:47:01.621621621,"Author6, A.; Researcher1, B.",Nature,PMC,pdf_45.json,pmc_45.json
CORD-000046,COVID-19 Research Paper 47: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 47. We analyzed data from multiple sources and found significant correlations.,2020-02-20 10:05:24.324324324,"Author7, A.; Researcher2, B.",Science,arXiv,pdf_46.json,
CORD-000047,COVID-19 Research Paper 48: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 48. We analyzed data from multiple sources and found significant correlations.,2020-02-21 12:23:47.027027027,"Author8, A.; Researcher3, B.",NEJM,PubMed,pdf_47.json,
CORD-000048,COVID-19 Research Paper 49: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 49. We analyzed data from multiple sources and found significant correlations.,2020-02-22 14:42:09.729729730,"Author9, A.; Researcher4, B.",Nature,bioRxiv,pdf_48.json,pmc_48.json
CORD-000049,COVID-19 Research Paper 50: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 50. We analyzed data from multiple sources and found significant correlations.,2020-02-23 17:00:32.432432432,"Author10, A.; Researcher5, B.",NEJM,PubMed,pdf_49.json,
CORD-000050,COVID-19 Research Paper 51: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 51. We analyzed data from multiple sources and found significant correlations.,2020-02-24 19:18:55.135135135,"Author1, A.; Researcher1, B.",JAMA,PMC,pdf_50.json,
CORD-000051,COVID-19 Research Paper 52: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 52. We analyzed data from multiple sources and found significant correlations.,2020-02-25 21:37:17.837837838,"Author2, A.; Researcher2, B.",Science,PMC,pdf_51.json,pmc_51.json
CORD-000052,COVID-19 Research Paper 53: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 53. We analyzed data from multiple sources and found significant correlations.,2020-02-26 23:55:40.540540541,"Author3, A.; Researcher3, B.",Science,PMC,pdf_52.json,
CORD-000053,COVID-19 Research Paper 54: A Study on Transmission Patterns,,2020-02-28 02:14:03.243243243,"Author4, A.; Researcher4, B.",Nature,bioRxiv,pdf_53.json,
CORD-000054,COVID-19 Research Paper 55: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 55. We analyzed data from multiple sources and found significant correlations.,2020-02-29 04:32:25.945945946,"Author5, A.; Researcher5, B.",Science,arXiv,pdf_54.json,pmc_54.json
CORD-000055,COVID-19 Research Paper 56: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 56. We analyzed data from multiple sources and found significant correlations.,2020-03-01 06:50:48.648648649,"Author6, A.; Researcher1, B.",BMJ,bioRxiv,pdf_55.json,
CORD-000056,COVID-19 Research Paper 57: A Study on Transmission Patterns,,2020-03-02 09:09:11.351351351,"Author7, A.; Researcher2, B.",Science,PubMed,pdf_56.json,
CORD-000057,COVID-19 Research Paper 58: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 58. We analyzed data from multiple sources and found significant correlations.,2020-03-03 11:27:34.054054054,"Author8, A.; Researcher3, B.",NEJM,bioRxiv,pdf_57.json,pmc_57.json
CORD-000058,COVID-19 Research Paper 59: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 59. We analyzed data from multiple sources and found significant correlations.,2020-03-04 13:45:56.756756757,"Author9, A.; Researcher4, B.",NEJM,PubMed,pdf_58.json,
CORD-000059,COVID-19 Research Paper 60: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 60. We analyzed data from multiple sources and found significant correlations.,2020-03-05 16:04:19.459459459,"Author10, A.; Researcher5, B.",NEJM,bioRxiv,pdf_59.json,
CORD-000060,COVID-19 Research Paper 61: A Study on Transmission Patterns,,2020-03-06 18:22:42.162162162,"Author1, A.; Researcher1, B.",NEJM,arXiv,pdf_60.json,pmc_60.json
CORD-000061,COVID-19 Research Paper 62: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 62. We analyzed data from multiple sources and found significant correlations.,2020-03-07 20:41:04.864864865,"Author2, A.; Researcher2, B.",BMJ,PubMed,pdf_61.json,
CORD-000062,COVID-19 Research Paper 63: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 63. We analyzed data from multiple sources and found significant correlations.,2020-03-08 22:59:27.567567568,"Author3, A.; Researcher3, B.",Lancet,PMC,pdf_62.json,
CORD-000063,COVID-19 Research Paper 64: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 64. We analyzed data from multiple sources and found significant correlations.,2020-03-10 01:17:50.270270270,"Author4, A.; Researcher4, B.",JAMA,PMC,pdf_63.json,pmc_63.json
CORD-000064,COVID-19 Research Paper 65: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 65. We analyzed data from multiple sources and found significant correlations.,2020-03-11 03:36:12.972972973,"Author5, A.; Researcher5, B.",Nature,bioRxiv,pdf_64.json,
CORD-000065,COVID-19 Research Paper 66: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 66. We analyzed data from multiple sources and found significant correlations.,2020-03-12 05:54:35.675675676,"Author6, A.; Researcher1, B.",NEJM,PMC,pdf_65.json,
CORD-000066,COVID-19 Research Paper 67: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 67. We analyzed data from multiple sources and found significant correlations.,2020-03-13 08:12:58.378378378,"Author7, A.; Researcher2, B.",Science,PubMed,pdf_66.json,pmc_66.json
CORD-000067,COVID-19 Research Paper 68: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 68. We analyzed data from multiple sources and found significant correlations.,2020-03-14 10:31:21.081081081,"Author8, A.; Researcher3, B.",NEJM,PMC,pdf_67.json,
CORD-000068,COVID-19 Research Paper 69: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 69. We analyzed data from multiple sources and found significant correlations.,2020-03-15 12:49:43.783783784,"Author9, A.; Researcher4, B.",Science,arXiv,pdf_68.json,
CORD-000069,COVID-19 Research Paper 70: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 70. We analyzed data from multiple sources and found significant correlations.,2020-03-16 15:08:06.486486487,"Author10, A.; Researcher5, B.",JAMA,arXiv,pdf_69.json,pmc_69.json
CORD-000070,COVID-19 Research Paper 71: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 71. We analyzed data from multiple sources and found significant correlations.,2020-03-17 17:26:29.189189189,"Author1, A.; Researcher1, B.",JAMA,bioRxiv,pdf_70.json,
CORD-000071,COVID-19 Research Paper 72: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 72. We analyzed data from multiple sources and found significant correlations.,2020-03-18 19:44:51.891891892,"Author2, A.; Researcher2, B.",JAMA,PubMed,pdf_71.json,
CORD-000072,COVID-19 Research Paper 73: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 73. We analyzed data from multiple sources and found significant correlations.,2020-03-19 22:03:14.594594595,"Author3, A.; Researcher3, B.",Science,arXiv,pdf_72.json,pmc_72.json
CORD-000073,COVID-19 Research Paper 74: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 74. We analyzed data from multiple sources and found significant correlations.,2020-03-21 00:21:37.297297297,"Author4, A.; Researcher4, B.",NEJM,arXiv,pdf_73.json,
CORD-000074,COVID-19 Research Paper 75: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 75. We analyzed data from multiple sources and found significant correlations.,2020-03-22 02:40:00.000000000,"Author5, A.; Researcher5, B.",JAMA,PubMed,pdf_74.json,
CORD-000075,COVID-19 Research Paper 76: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 76. We analyzed data from multiple sources and found significant correlations.,2020-03-23 04:58:22.702702703,"Author6, A.; Researcher1, B.",BMJ,PMC,pdf_75.json,pmc_75.json
CORD-000076,COVID-19 Research Paper 77: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 77. We analyzed data from multiple sources and found significant correlations.,2020-03-24 07:16:45.405405405,"Author7, A.; Researcher2, B.",Science,PMC,pdf_76.json,
CORD-000077,COVID-19 Research Paper 78: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 78. We analyzed data from multiple sources and found significant correlations.,2020-03-25 09:35:08.108108108,"Author8, A.; Researcher3, B.",Science,bioRxiv,pdf_77.json,
CORD-000078,COVID-19 Research Paper 79: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 79. We analyzed data from multiple sources and found significant correlations.,2020-03-26 11:53:30.810810811,"Author9, A.; Researcher4, B.",NEJM,PMC,pdf_78.json,pmc_78.json
CORD-000079,COVID-19 Research Paper 80: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 80. We analyzed data from multiple sources and found significant correlations.,2020-03-27 14:11:53.513513514,"Author10, A.; Researcher5, B.",Science,PubMed,pdf_79.json,
CORD-000080,COVID-19 Research Paper 81: A Study on Transmission Patterns,,2020-03-28 16:30:16.216216216,"Author1, A.; Researcher1, B.",Science,arXiv,pdf_80.json,
CORD-000081,COVID-19 Research Paper 82: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 82. We analyzed data from multiple sources and found significant correlations.,2020-03-29 18:48:38.918918919,"Author2, A.; Researcher2, B.",JAMA,PMC,pdf_81.json,pmc_81.json
CORD-000082,COVID-19 Research Paper 83: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 83. We analyzed data from multiple sources and found significant correlations.,2020-03-30 21:07:01.621621622,"Author3, A.; Researcher3, B.",NEJM,bioRxiv,pdf_82.json,
CORD-000083,COVID-19 Research Paper 84: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 84. We analyzed data from multiple sources and found significant correlations.,2020-03-31 23:25:24.324324324,"Author4, A.; Researcher4, B.",JAMA,PMC,pdf_83.json,
CORD-000084,COVID-19 Research Paper 85: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 85. We analyzed data from multiple sources and found significant correlations.,2020-04-02 01:43:47.027027027,"Author5, A.; Researcher5, B.",JAMA,PubMed,pdf_84.json,pmc_84.json
CORD-000085,COVID-19 Research Paper 86: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 86. We analyzed data from multiple sources and found significant correlations.,2020-04-03 04:02:09.729729730,"Author6, A.; Researcher1, B.",NEJM,bioRxiv,pdf_85.json,
CORD-000086,COVID-19 Research Paper 87: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 87. We analyzed data from multiple sources and found significant correlations.,2020-04-04 06:20:32.432432432,"Author7, A.; Researcher2, B.",Nature,PMC,pdf_86.json,
CORD-000087,COVID-19 Research Paper 88: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 88. We analyzed data from multiple sources and found significant correlations.,2020-04-05 08:38:55.135135135,,JAMA,bioRxiv,pdf_87.json,pmc_87.json
CORD-000088,COVID-19 Research Paper 89: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 89. We analyzed data from multiple sources and found significant correlations.,2020-04-06 10:57:17.837837838,"Author9, A.; Researcher4, B.",BMJ,PubMed,pdf_88.json,
CORD-000089,COVID-19 Research Paper 90: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 90. We analyzed data from multiple sources and found significant correlations.,2020-04-07 13:15:40.540540541,"Author10, A.; Researcher5, B.",BMJ,arXiv,pdf_89.json,
CORD-000090,COVID-19 Research Paper 91: A Study on Transmission Patterns,,2020-04-08 15:34:03.243243243,"Author1, A.; Researcher1, B.",Science,PubMed,pdf_90.json,pmc_90.json
CORD-000091,COVID-19 Research Paper 92: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 92. We analyzed data from multiple sources and found significant correlations.,2020-04-09 17:52:25.945945946,"Author2, A.; Researcher2, B.",BMJ,PubMed,pdf_91.json,
CORD-000092,COVID-19 Research Paper 93: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 93. We analyzed data from multiple sources and found significant correlations.,2020-04-10 20:10:48.648648649,"Author3, A.; Researcher3, B.",Science,PubMed,pdf_92.json,
CORD-000093,COVID-19 Research Paper 94: A Study on Transmission Patterns,,2020-04-11 22:29:11.351351351,"Author4, A.; Researcher4, B.",Nature,PubMed,pdf_93.json,pmc_93.json
CORD-000094,COVID-19 Research Paper 95: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 95. We analyzed data from multiple sources and found significant correlations.,2020-04-13 00:47:34.054054054,,NEJM,arXiv,pdf_94.json,
CORD-000095,COVID-19 Research Paper 96: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 96. We analyzed data from multiple sources and found significant correlations.,2020-04-14 03:05:56.756756757,"Author6, A.; Researcher1, B.",NEJM,arXiv,pdf_95.json,
CORD-000096,COVID-19 Research Paper 97: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 97. We analyzed data from multiple sources and found significant correlations.,2020-04-15 05:24:19.459459460,"Author7, A.; Researcher2, B.",NEJM,bioRxiv,pdf_96.json,pmc_96.json
CORD-000097,COVID-19 Research Paper 98: A Study on Transmission Patterns,,2020-04-16 07:42:42.162162162,"Author8, A.; Researcher3, B.",BMJ,PMC,pdf_97.json,
CORD-000098,COVID-19 Research Paper 99: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 99. We analyzed data from multiple sources and found significant correlations.,2020-04-17 10:01:04.864864864,"Author9, A.; Researcher4, B.",Nature,arXiv,pdf_98.json,
CORD-000099,COVID-19 Research Paper 100: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 100. We analyzed data from multiple sources and found significant correlations.,2020-04-18 12:19:27.567567568,"Author10, A.; Researcher5, B.",BMJ,arXiv,pdf_99.json,pmc_99.json
CORD-000100,COVID-19 Research Paper 101: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 101. We analyzed data from multiple sources and found significant correlations.,2020-04-19 14:37:50.270270270,"Author1, A.; Researcher1, B.",BMJ,PMC,pdf_100.json,
CORD-000101,COVID-19 Research Paper 102: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 102. We analyzed data from multiple sources and found significant correlations.,2020-04-20 16:56:12.972972974,"Author2, A.; Researcher2, B.",Nature,arXiv,pdf_101.json,
CORD-000102,COVID-19 Research Paper 103: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 103. We analyzed data from multiple sources and found significant correlations.,2020-04-21 19:14:35.675675676,"Author3, A.; Researcher3, B.",Nature,PubMed,pdf_102.json,pmc_102.json
CORD-000103,COVID-19 Research Paper 104: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 104. We analyzed data from multiple sources and found significant correlations.,2020-04-22 21:32:58.378378378,"Author4, A.; Researcher4, B.",Nature,PubMed,pdf_103.json,
CORD-000104,COVID-19 Research Paper 105: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 105. We analyzed data from multiple sources and found significant correlations.,2020-04-23 23:51:21.081081082,"Author5, A.; Researcher5, B.",Nature,PMC,pdf_104.json,
CORD-000105,COVID-19 Research Paper 106: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 106. We analyzed data from multiple sources and found significant correlations.,2020-04-25 02:09:43.783783784,"Author6, A.; Researcher1, B.",NEJM,bioRxiv,pdf_105.json,pmc_105.json
CORD-000106,COVID-19 Research Paper 107: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 107. We analyzed data from multiple sources and found significant correlations.,2020-04-26 04:28:06.486486486,"Author7, A.; Researcher2, B.",Lancet,bioRxiv,pdf_106.json,
